,ano,id_municipio,municipio,total_roubos,total_furtos,pol_civis_mortos_serv,pol_militares_mortos_serv,populacao
0,2014-01-01,3300100,angra dos reis,201.69,690.49,0.0,0.0,210171
1,2015-01-01,3300100,angra dos reis,192.8,599.12,0.0,0.0,210171
2,2016-01-01,3300100,angra dos reis,339.94,516.44,0.0,0.0,210171
3,2017-01-01,3300100,angra dos reis,344.26,355.05,0.0,0.0,210171
4,2018-01-01,3300100,angra dos reis,363.26,356.77,0.0,2.22,210171
5,2019-01-01,3300100,angra dos reis,292.47,292.96,0.0,0.0,210171
6,2020-01-01,3300100,angra dos reis,117.37,221.21,0.0,0.0,210171
7,2014-01-01,3300209,araruama,281.11,1079.8,0.0,0.0,136109
8,2015-01-01,3300209,araruama,267.77,1048.31,0.0,0.0,136109
9,2016-01-01,3300209,araruama,452.22,954.06,0.0,0.0,136109
10,2017-01-01,3300209,araruama,548.36,810.31,0.0,0.0,136109
11,2018-01-01,3300209,araruama,420.89,913.84,0.0,0.0,136109
12,2019-01-01,3300209,araruama,391.99,962.99,0.0,0.0,136109
13,2020-01-01,3300209,araruama,221.9,714.85,0.0,0.0,136109
14,2014-01-01,3300308,barra do pirai,46.6,409.04,0.0,0.0,101139
15,2015-01-01,3300308,barra do pirai,36.13,381.97,0.0,0.0,101139
16,2016-01-01,3300308,barra do pirai,58.67,377.76,0.0,0.0,101139
17,2017-01-01,3300308,barra do pirai,63.62,342.7,0.0,0.0,101139
18,2018-01-01,3300308,barra do pirai,65.02,357.11,0.0,2.22,101139
19,2019-01-01,3300308,barra do pirai,68.74,350.69,0.0,0.0,101139
20,2020-01-01,3300308,barra do pirai,42.67,234.21,0.0,0.0,101139
21,2014-01-01,3300407,barra mansa,113.52,642.75,0.0,0.0,185237
22,2015-01-01,3300407,barra mansa,145.07,603.62,0.0,0.0,185237
23,2016-01-01,3300407,barra mansa,204.3,641.77,0.0,0.0,185237
24,2017-01-01,3300407,barra mansa,146.56,426.86,0.0,0.0,185237
25,2018-01-01,3300407,barra mansa,126.65,460.93,0.0,0.0,185237
26,2019-01-01,3300407,barra mansa,144.78,405.07,0.0,0.0,185237
27,2020-01-01,3300407,barra mansa,88.19,269.97,0.0,0.0,185237
28,2014-01-01,3300456,belford roxo,826.06,341.06,0.0,0.0,515239
29,2015-01-01,3300456,belford roxo,648.89,359.36,0.0,0.0,515239
30,2016-01-01,3300456,belford roxo,1029.26,310.64,0.0,6.51,515239
31,2017-01-01,3300456,belford roxo,1181.16,243.25,0.0,2.15,515239
32,2018-01-01,3300456,belford roxo,1503.1,232.59,0.0,2.22,515239
33,2019-01-01,3300456,belford roxo,1343.3,250.34,0.0,0.0,515239
34,2020-01-01,3300456,belford roxo,964.11,215.35,0.0,2.26,515239
35,2014-01-01,3300704,cabo frio,454.31,1308.16,0.0,0.0,234077
36,2015-01-01,3300704,cabo frio,343.49,1098.58,0.0,0.0,234077
37,2016-01-01,3300704,cabo frio,448.45,849.31,0.0,0.0,234077
38,2017-01-01,3300704,cabo frio,485.58,798.5,0.0,0.0,234077
39,2018-01-01,3300704,cabo frio,431.41,648.01,0.0,0.0,234077
40,2019-01-01,3300704,cabo frio,455.58,829.93,0.0,0.0,234077
