UF; Alienações ; Permissão  ; Cessão ; Aluguel ; Arrendamento ; Foro ; Laudêmio ; Taxa_ocupação ; Outras_receitas ; DAU_SPU ; Total_UF 
AC; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 77.261,84 ; 901,65 ; 987,00 ; 79.150,49 
AL; -   ; -   ; -   ; -   ; 20.504,68 ; 151.952,62 ; 143.936,09 ; 4.139.101,74 ; 136.472,05 ; 66.983,00 ; 4.658.950,18 
AM; -   ; -   ; 41.142,57 ; 2.521,77 ; -   ; 266.112,08 ; -   ; 1.444.360,89 ; 37.493,10 ; 4.064,00 ; 1.795.694,41 
AP; -   ; -   ; -   ; -   ; -   ; 35.866,45 ; -   ; 15.430,10 ; 213,00 ; 420,00 ; 51.929,55 
BA; -   ; -   ; 51.877,16 ; 2.069,70 ; -   ; 1.581.798,43 ; 208.332,33 ; 5.670.842,94 ; 386.499,50 ; 124.668,00 ; 8.026.088,06 
CE; -   ; -   ; -   ; 33.831,25 ; -   ; 3.275.119,86 ; 130.428,89 ; 2.389.783,93 ; 297.033,82 ; 246.566,00 ; 6.372.763,75 
DF; 1.051.663,59 ; -   ; -   ; 27.073,78 ; -   ; 20,12 ; 27.163,59 ; 3.093.501,43 ; 673.395,47 ; 88.714,00 ; 4.961.531,98 
ES; -   ; -   ; 171.235,61 ; 4.191,80 ; -   ; 5.430.806,69 ; 710.550,14 ; 10.086.279,47 ; 2.359.002,61 ; 252.584,00 ; 19.014.650,32 
GO; -   ; -   ; -   ; -   ; 2.288,69 ; -   ; 1.260,27 ; 128.199,43 ; 7.755,44 ; 3.742,00 ; 143.245,83 
MA; -   ; -   ; -   ; -   ; 2.486,82 ; 1.339.391,50 ; 151.968,85 ; 243.558,61 ; 195.456,90 ; 123.666,00 ; 2.056.528,68 
MG; 415.678,28 ; -   ; 7.126,81 ; 39.213,30 ; -   ; 57.484,42 ; -   ; 31.595,03 ; 31.353,72 ; 42.507,00 ; 624.958,56 
MS; -   ; -   ; 69.790,00 ; 13.656,40 ; 2.925,22 ; -   ; 1.672,35 ; 204.731,31 ; 3.449,00 ; 3.851,00 ; 300.075,28 
MT; -   ; -   ; 6.640,72 ; -   ; -   ; 652,21 ; 2.418,72 ; 186.263,62 ; 10.385,91 ; 5.612,00 ; 211.973,18 
PA; -   ; 5.959,86 ; -   ; 437,34 ; -   ; 95.907,50 ; 1.614,87 ; 831.610,08 ; 21.697,10 ; 18.166,00 ; 975.392,75 
PB; -   ; -   ; -   ; -   ; -   ; 930.797,80 ; 146.574,51 ; 3.951.795,42 ; 206.869,59 ; 88.566,00 ; 5.324.603,32 
PE; 22.782,91 ; -   ; -   ; 718,16 ; -   ; 9.076.121,22 ; 574.115,89 ; 18.258.707,96 ; 803.414,85 ; 403.987,00 ; 29.139.847,99 
PI; -   ; -   ; -   ; 327,94 ; -   ; 558.162,90 ; 7.708,36 ; 773.360,88 ; 35.211,10 ; 35.621,00 ; 1.410.392,18 
PR; 8.986.821,50 ; -   ; 35.860,99 ; 16.973,10 ; 1.346.298,20 ; 419.473,06 ; 84.913,79 ; 6.070.058,61 ; 121.324,24 ; 91.691,00 ; 17.173.414,49 
RJ; -   ; -   ; -   ; 59.451,00 ; 950.327,16 ; 32.712.334,82 ; 3.635.250,29 ; 49.761.923,08 ; 3.976.616,68 ; 1.877.825,00 ; 92.973.728,03 
RN; -   ; -   ; 2.886,91 ; 1.544,10 ; -   ; 342.988,12 ; 93.287,35 ; 1.126.492,37 ; 53.131,03 ; 31.862,00 ; 1.652.191,88 
RO; -   ; -   ; -   ; 1.330,64 ; -   ; 1.560,03 ; 8.960,89 ; 99.062,13 ; 1.422,29 ; 1.107,00 ; 113.442,98 
RR; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4.902,79 ; 55,21 ; -   ; 4.958,00 
RS; -   ; -   ; 50.388,66 ; 24.911,39 ; 134.926,56 ; 1.212.461,81 ; 135.753,43 ; 2.205.201,45 ; 199.705,79 ; 119.101,00 ; 4.082.450,09 
SC; -   ; -   ; -   ; 1.176,30 ; 295.045,60 ; 2.792.900,20 ; 888.358,69 ; 29.202.650,65 ; 504.716,09 ; 269.785,00 ; 33.954.632,53 
SE; -   ; -   ; 289,85 ; -   ; -   ; 3.717.765,64 ; 162.352,78 ; 3.077.884,83 ; 267.152,22 ; 91.699,00 ; 7.317.144,32 
SP; 2.358.377,68 ; -   ; 700.930,44 ; 672.867,75 ; 7.543,22 ; 38.891.599,52 ; 4.325.670,60 ; 25.591.010,18 ; 1.313.488,32 ; 573.288,00 ; 74.434.775,71 
TO; -   ; -   ; -   ; -   ; -   ; 398,62 ; -   ; 13.222,46 ; 113,75 ; 207,00 ; 13.941,83 
;;;;;;;;;;;
Brasil; 12.835.323,96 ; 5.959,86 ; 1.138.169,72 ; 902.295,72 ; 2.762.346,15 ; 102.891.675,62 ; 11.442.292,68 ; 168.678.793,23 ; 11.644.330,43 ; 4.567.269,00 ; 316.868.456,37 
