Ordem;NroProcessoPI;Titular;CNPJ-Titular;CNPJ(ID Alternativo);IFES titular;Qtde de empregados;Natureza do Titular;Tipo do Titular;Tamanho do Titular;Esfera;Região;Seção;Descr.Seção;Divisão;Descr.Divisão;Ano requerimento;Ano 1º TT
1;PI08017026;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2008;Não TT
2;PI10037330;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2010;Não TT
3;PI11066881;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2011;Não TT
4;MU91026172;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2011;Não TT
5;BR1020120243954;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2012;Não TT
6;BR1020120243970;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2012;Não TT
7;BR1020120243962;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2012;Não TT
8;BR1020120284855;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2012;Não TT
9;BR1020130074551;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
10;BR1020130098710;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
11;BR1020130116254;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
12;BR1020130312932;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
13;BR1020130312924;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
14;BR1020140120700;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
15;BR1020140176977;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
16;BR1020140230963;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
17;BR1020140231102;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
18;BR1020140331590;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
19;BR1020150077939;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2015;Não TT
20;BR1020150288204;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2015;Não TT
21;BR1020160184983;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
22;BR1020160230730;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
23;BR1020160230721;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
24;BR1020160279585;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
25;BR1020170031721;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2017;Não TT
